Ticker,Name,Exchange,categoryName,categoryNr
BDK.BE,BEST DENKI,BER,Home Furnishings & Fixtures,311
IDKOY,Idemitsu Kosan Co. Ltd.,PNK,,0
ABRN,Arbor Realty Trust Inc.,NYQ,,0
HOMB,"Home Bancshares, Inc. (Conway, AR)",NMS,Money Center Banks,410
JLL,Jones Lang LaSalle Incorporated,NYQ,Property Management,448
PFK,Prudential Financial Inflation-,NYQ,,0
BR.TO,Big Rock Brewery Inc.,TOR,Beverages - Brewers,346
WFWL,Wi-Fi Wireless Inc.,PNK,,0
GAIA,Gaiam Inc.,NGM,Catalog & Mail Order Houses,739
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.,BSE,,0
UEPS,Net 1 Ueps Technologies Inc.,NMS,Business Services,760
CCZ.TO,Critical Control Energy Services Corp.,TOR,Information Technology Services,824
BOCA-CL,"Banc of California, Inc. Senior",NYQ,,0
VOLTAMP.NS,Voltamp Transformers Limited,NSI,Diversified Machinery,622
ALVA.BE,ALLIANZ SP ADR,BER,Property & Casualty Insurance,432
ONWARDTEC.BO,ONWARD TECHNOLOGIES LTD.,BSE,,0
KNRCON.NS,KNR Constructions Limited.,NSI,General Contractors,636
FNMFN,Federal National Mortgage Association,OBB,,0
COST.MX,Costco Wholesale Corporation,MEX,"Discount, Variety Stores",732
GMLP,Golar LNG Partners Limited Partnership,NMS,Shipping,775
1520.HK,RUNWAY GLOBAL,HKG,,0
LVH1.F,JACKPOT DIGITAL,FRA,,0
ARB-H.V,ARDONBLUE VENTURES INC,VAN,,0
ALIAF,Alacer Gold Corp.,PNK,,0
CJEWF,Chow Tai Fook Jewellery Group Ltd.,PNK,,0
EBIO,"Eleven Biotherapeutics, Inc.",NGM,Biotechnology,515
CLOW,"Cloudweb, Inc.",OBB,,0
XJOMOQ-A,MINI S,ASX,,0
CU7.F,QUOTIENT TECHNOLOGY,FRA,,0
5TR.HM,DGH Deutsche Grundwert Holding AG,HAM,,0
GLYC,"GlycoMimetics, Inc.",NGM,Biotechnology,515
XEK.F,FORTRESS INVEST-A,FRA,Asset Management,422
0035.KL,OPCOM HOLDINGS BHD,KLS,,0
2138.HK,UM HEALTHCARE,HKG,,0
GLYHO.IS,Global Yatirim Holding A.S.,IST,,0
MOR.DE,Morphosys AG,GER,Biotechnology,515
YUMF.EX,YUM BRANDS,EUX,,0
MDLZ.SW,MONDELEZ INT-A,EBS,,0
VML.AX,Vital Metals Limited,ASX,Industrial Metals & Minerals,133
HTM,U.S. Geothermal Inc.,ASE,Diversified Utilities,913
HBKA,"Highlands Bankshares, Inc.",PNK,,0
BCV.SI,Qian Hu Corporation Limited,SES,,0
T3W1.DU,TIME WARNER CBL,DUS,,0
BN4.SI,Keppel Corporation Limited,SES,General Contractors,636
EGCYH.IS,Egeli & Co Yatirim Holding AS,IST,,0
YPH.DU,ASTELLAS PHARMA,DUS,Drug Manufacturers - Major,510
SPLP,Steel Partners Holdings L.P,NYQ,Conglomerates,210
XEJ.BE,ACCURAY,BER,Medical Appliances & Equipment,521
QUBSF,Qantas Airways Limited,PNK,,0
AJACD,"Aja Cannafacturing, Inc.",PNK,,0
DMP.AX,Domino's Pizza Enterprises Limited,ASX,Restaurants,712
MEDC.JK,Medco Energi International Tbk,JKT,,0
CRH.TO,CRH Medical Corporation,TOR,Cement,633
S,Sprint Corporation,NYQ,Wireless Communications,840
GLCH,"Gleacher & Company, Inc.",PNK,Asset Management,422
CBM,Cambrex Corporation,NYQ,Biotechnology,515
WISKF,Weiss Korea Opportunity Fund Ltd.,PNK,,0
XXT.SG,OL GROUPE ,STU,Broadcasting - TV,723
VIAV,Viavi Solutions Inc.,NMS,Communication Equipment,841
MZTAQ,"Mizati Luxury Alloy Wheels, Inc.",PNK,,0
DISB34F.SA,The Walt Disney Company,SAO,Entertainment - Diversified,722
VNET.L,VIANET,LSE,,0
ITN.DE,Intertainment AG,GER,Entertainment - Diversified,722
B61.SI,Bukit Sembawang Estates Limited,SES,Real Estate Development,449
KTF.HA,MONDELEZ INT-A,HAN,,0
BWY.L,Bellway plc,LSE,Residential Construction,630
MT,ArcelorMittal,NYQ,Steel & Iron,130
05482P.TW,YUANTA SECURITIES P/W 27/10/15(,TAI,,0
CIFC,CIFC LLC,NCM,Asset Management,422
M04.BE,MGM CHINA HLDGS,BER,,0
COBE3B.SA,CONST BETER ON *    MB,SAO,,0
TCKGY,Thomas Cook Group plc,PNK,,0
DSPG,DSP Group Inc.,NMS,Semiconductor - Integrated Circuits,833
036670.KQ,KCI Limited,KOE,,0
ASTI,"Ascent Solar Technologies, Inc.",NCM,Semiconductor - Specialized,832
YCP.SG,CONOCOPHILLIPS,STU,Independent Oil & Gas,121
AUROPHARMA.NS,Aurobindo Pharma Limited,NSI,Drug Manufacturers - Major,510
MERS.QA,Almeera Consumer Goods Company Q.S.C.,DOH,,0
T9Z.EX,ZUMTOBEL GR,EUX,,0
GXP,Great Plains Energy Incorporated,NYQ,Electric Utilities,911
GND.PA,XPO Logistics Europe SA,PAR,Air Delivery & Freight Services,773
ARWAR,Arowana Inc.,NCM,,0
NBL,"Noble Energy, Inc.",NYQ,Independent Oil & Gas,121
ICN.AX,Icon Energy Limited,ASX,Independent Oil & Gas,121
SSUN.BE,SMG SP GDR-144A PFD,BER,Electronic Equipment,314
8005-OL.HK,YUXING INFOTECH,HKG,,0
MMG.DU,MITSUI MNG & SMLT,DUS,Industrial Metals & Minerals,133
XMPA.SG,CYTORI THERAPEUTICS,STU,Biotechnology,515
QGPLF,Quest for Growth NV,PNK,,0
BBC.CR,BANESCO. B.U,CCS,,0
ZMH,"Zimmer Biomet Holdings, Inc.",NYQ,,0
O1BC.DU,XING N,DUS,Internet Information Providers,851
ZAHLY,Zuoan Fashion Limited,PNK,,0
PBRN.MX,Petróleo Brasileiro S.A. - Petrobras,MEX,Major Integrated Oil & Gas,120
GTVI,Joway Health Industries Group Inc.,PNK,,0
NDA.F,AURUBIS,FRA,Copper,131
UNPA,UNB Corp.,PNK,,0
AXST,Axesstel Inc.,PNK,,0
NESN.VX,NESTLE N,VTX,,0
MLTED.PA,Telecom Design SA,PAR,Communication Equipment,841
TDI.F,TAKARA LEBEN,FRA,,0
FLY,FLY Leasing Limited,NYQ,Rental & Leasing Services,761
JAF.DU,JAFCO,DUS,Asset Management,422
ZV.MI,Zignago Vetro S.p.A.,MIL,Packaging & Containers,325
KZX.V,KazaX Minerals Inc.,VAN,Industrial Metals & Minerals,133
NOKN.MX,Nokia Corporation,MEX,Communication Equipment,841
K22.BE,KEIO,BER,Railroads,776
ZAV.F,ZADAR VENTURES,FRA,,0
109960.KQ,Locojoy International Corporation,KOE,,0
RMGN,RMG Networks Holding Corporation,NCM,Business Services,760
AVMXF,Avita Medical Limited,PNK,,0
WWI.OL,Wilh. Wilhelmsen Holding ASA,OSL,Air Delivery & Freight Services,773
FC,Franklin Covey Co.,NYQ,Education & Training Services,766
GRBK,"Green Brick Partners, Inc.",NCM,Real Estate Development,449
AXS.L,Accsys Technologies Plc,LSE,"Lumber, Wood Production",632
OKA.F,OKUMURA CORP,FRA,General Contractors,636
XCA.SG,CREDIT AGRICOLE,STU,Money Center Banks,410
IDC.TO,International Datacasting Corporation,TOR,,0
BLKB,Blackbaud Inc.,NMS,Business Software & Services,826
VBIV,"VBI Vaccines, Inc.",NCM,Biotechnology,515
SCZC,Santa Cruz County Bank,PNK,Regional - Pacific Banks,416
VLN.TO,"Velan, Inc.",TOR,Diversified Machinery,622
SBNC.DU,SBERBANK SP ADR,DUS,Money Center Banks,410
WEYS,Weyco Group Inc.,NMS,Textile - Apparel Footwear & Accessories,321
ANY,Sphere 3D Corp.,NGM,Application Software,821
JUNIORBEES.NS,Goldman Sachs Junior BeES ETF,NSI,,0
SCP.TO,Sprott Resource Corp.,TOR,Independent Oil & Gas,121
CLFMF,iShares 1-5 Year Laddered Government Bond Index ETF,PNK,,0
TITN,"Titan Machinery, Inc.",NMS,Industrial Equipment Wholesale,752
0ZG.SG,ZILLOW GROUP-A,STU,,0
7692.KL,Widetech Malaysia Bhd,KLS,,0
EDGA.DU,GOLD FIELDS,DUS,Gold,134
NXZ,Nuveen Dividend Advantage Municipal Fund 2,ASE,,0
72432P.TWO,YUANTA SECURITIES P/W 06/07/16(,TWO,,0
MLHR,Herman Miller Inc.,NMS,Business Equipment,313
SBLKL,Star Bulk Carriers Corp.,NMS,,0
3069-OL.HK,X XIE THAI,HKG,,0
BNII.JK,Bank Maybank Indonesia Tbk.,JKT,,0
OPXS,"Optex Systems Holdings, Inc",PNK,Industrial Metals & Minerals,133
FZM.DE,ZTE Corp.,GER,Communication Equipment,841
SN.L,Smith & Nephew plc,LSE,Medical Appliances & Equipment,521
102280.KS,"SBW, Inc.",KSC,,0
USTDF,Palisades Ventures Inc.,PNK,,0
BRZL,"Scepter Holdings, Inc.",PNK,Industrial Metals & Minerals,133
PMV.AX,Premier Investments Limited,ASX,Apparel Stores,730
CIFHY,China Fishery Group Limited,PNK,,0
COCP,"Cocrystal Pharma, Inc.",OBB,Drug Related Products,514
ZONN.BE,REPROS THERAPEUTICS,BER,,0
SFEXD,KinerjaPay Corp.,PNK,,0
XNWU,Xuan Wu International Group Holding Company,PNK,,0
JINDALPOL.NS,Jindal Poly Films Limited,,Specialty Chemicals,113
SVGYF,Savanna Energy Services Corp.,PNK,,0
BHU.SG,BAKER HUGHES INC,STU,Oil & Gas Equipment & Services,124
LIBHA,"Liberty Homes, Inc.",PNK,,0
LIN.HM,LINDE,HAM,,0
WFTSF,Wavefront Technology Solutions Inc.,PNK,,0
FBT.L,Forbidden Technologies plc,LSE,Technical & System Software,822
VULC3.SA,Vulcabras|azaleia S.A.,SAO,,0
KGBLF,KINGBOARD LAMINATES,PNK,,0
017940.KS,E1 Corporation,KSC,,0
HMO.BE,HINO MOTORS,BER,Auto Manufacturers - Major,330
ZBB.A,,ASE,,0
NMXS,"Net Medical Xpress Solutions, Inc.",PNK,,0
HSEB,HSBC Holdings plc,NYQ,,0
72346P.TWO,YUANTA SECURITIES P/W 30/05/16(,TWO,,0
2768.HK,JIAYUAN INTL,HKG,,0
BKX.SI,Yongmao Holdings Limited,SES,,0
CGV.SG,Crompton Greaves Limited,STU,,0
QCH.F,COMPUTERSHARE,FRA,Information Technology Services,824
ESEA,Euroseas Ltd.,NCM,Shipping,775
UTC1.BE,UTD TECHNOLOGIES,BER,Aerospace/Defense - Major Diversified,610
HCL.BE,HECLA MINING,BER,Silver,135
YG12.MU,YNGL GRN EN SP ADR,MUN,,0
ZGNX,"Zogenix, Inc.",NGM,Drug Manufacturers - Major,510
KRM-H.V,KRAMER CAPITAL CORP,VAN,,0
BRPC,Black River Petroleum Corp.,OBB,Independent Oil & Gas,121
7084.KL,QL Resources Berhad,KLS,,0
PNRG,PrimeEnergy Corp.,NCM,Independent Oil & Gas,121
MLEAU.PA,Societe des Eaux de Douai SA,PAR,Water Utilities,914
BLD,TopBuild Corp.,NYQ,General Building Materials,634
AXB.IL,AXIS SP GDR REG-S,IOB,,0
007370.KQ,"Jin Yang Pharmaceutical Co., Ltd.",KOE,,0
ADPT,Adeptus Health Inc.,NYQ,Hospitals,524
KT9.MU,GIYANI GOLD,MUN,,0
NEWP,Newport Corp.,NMS,,0
ABEO,Abeona Therapeutics Inc.,NCM,,0
GBT,"Global Blood Therapeutics, Inc.",NMS,Biotechnology,515
SIP.BR,"SociÃ©tÃ© Internationale de Plantations et de Finance
",BRU,Farm Products,341
2286-OL.HK,CHEN XING,HKG,,0
2301.TW,Lite-On Technology Corp.,TAI,Computer Based Systems,812
CWY.AX,Cleanaway Waste Management Limited,ASX,Waste Management,637
MJTV,Michael James Enterprises Inc.,PNK,,0
ZOE.SG,ZOETIS-A,STU,,0
FLTX,Fleetmatics Group PLC,NYQ,Application Software,821
V0Y.MU,VOYA FINANCIAL,MUN,,0
I8U.MU,INPEX,MUN,Independent Oil & Gas,121
5131@BN.KL,ZHULIAN CORPORATION BHD,KLS,,0
OYS.F,OLYMPIC STEEL,FRA,Steel & Iron,130
EP-PC,El Paso Corporation Preferred S,NYQ,,0
VS6.MU,VITASOY INTL,MUN,,0
MAN3.MU,MAN  VZ,MUN,Trucks & Other Vehicles,331
XER.DU,XEROX CORP,DUS,,0
EVDY,"Everyday Health, Inc.",NYQ,Healthcare Information Services,825
JXC1.SG,J2 GLOBAL,STU,,0
GBAB,Guggenheim Build America Bonds Managed Duration Trust,NYQ,,0
OGEN,Oragenics Inc.,ASE,Biotechnology,515
CGN.SG,CIGNA CORP,STU,Health Care Plans,522
D4OA.L,Downing Four VCT Dp2011 Gen A Shs,LSE,,0
MKGAY,Merck KGaA,PNK,,0
8PO.F,POLA ORBIS HLDG,FRA,,0
COT,Cott Corporation,NYQ,Beverages - Soft Drinks,348
ZO1.HA,ZOOPLUS,HAN,Food - Major Diversified,340
THEP.PA,"Thermador Groupe Société Anonyme
",PAR,Business Services,760
STE-A.ST,Stora Enso Oyj,STO,Paper & Paper Products,324
DX,Dynex Capital Inc.,NYQ,REIT - Residential,445
WOR.L,World Careers Network plc,LSE,Staffing & Outsourcing Services,764
MGIC,Magic Software Enterprises Ltd.,NMS,Application Software,821
TRVR,"Two Rivers Financial Group, Inc.",PNK,Regional - Southwest  Banks,415
DCG.AX,Decmil Group Limited.,ASX,General Contractors,636
36V.BE,VITALITY PRODUCTS,BER,,0
LDZA.SG,ASPEN PHARMACARE,STU,Drugs - Generic,512
SST.AX,Steamships Trading Company Limited,ASX,Conglomerates,210
LGO.AX,Longreach Oil Ltd.,ASX,Independent Oil & Gas,121
OGC.NZ,OceanaGold Corporation,NZE,Gold,134
19YA.F,YIRENDAI SP ADS,FRA,,0
SCX,The L.S. Starrett Company,NYQ,Small Tools & Accessories,625
9NG.F,NEW WLD OIL GAS NPV,FRA,,0
STEERINTER.BO,Sterling International Enterprises Ltd.,BSE,Oil & Gas Equipment & Services,124
0196.HK,HONGHUA GROUP,HKG,Oil & Gas Equipment & Services,124
VEERENRGY.BO,Veer Energy & Infrastructure Ltd,BSE,Electric Utilities,911
ASAZY,ASSA ABLOY AB,PNK,,0
WHYRF,West High Yield (W.H.Y.) Resources Ltd.,PNK,,0
ESV,Ensco plc,NYQ,Oil & Gas Drilling & Exploration,123
DEO,Diageo plc,NYQ,Beverages - Wineries & Distillers,347
ECIFY,Electricite de France SA,PNK,,0
ZGAEKWAR.BO,GAEKWAR MILLS LTD.,BSE,,0
TOTDY,Toto Ltd.,PNK,,0
XYUA.SG,HENGDELI HLDGS,STU,"Specialty Retail, Other",745
MYMX,Mymetics Corporation,PNK,,0
72441P.TWO,YUANTA SECURITIES P/W 12/07/16(,TWO,,0
SFT.V,Softrock Minerals Ltd.,VAN,Independent Oil & Gas,121
CABO-WI,"Cable One, Inc. Common Stock Wh",NYQ,,0
AMBCW,"Ambac Financial Group, Inc.",NMS,,0
3331.HK,VINDA INT'L,HKG,Paper & Paper Products,324
LMAT,"LeMaitre Vascular, Inc.",NGM,Medical Instruments & Supplies,520
BZQIY,Bezeq The Israel Telecommunication Corporation Limited,PNK,,0
CAH,"Cardinal Health, Inc.",NYQ,Drugs Wholesale,756
JANL,Janel Corporation,PNK,,0
KED,Kayne Anderson Energy Development Company,NYQ,Asset Management,422
DABUR.NS,Dabur India Ltd.,NSI,Personal Products,323
PCT.L,Polar Capital Technology Ord,LSE,Asset Management,422
DEITF,Devro plc,PNK,,0
NVGN,Novogen Limited,NCM,Drug Manufacturers - Major,510
ZZ7B.SG,ARC GROUP WORLDWIDE,STU,,0
ESRT,"Empire State Realty Trust, Inc.",NYQ,REIT - Diversified,440
XCY.BE,OPKO HEALTH,BER,,0
UDHCF,UDG Healthcare plc,PNK,,0
0631.HK,SANY INT'L,HKG,Farm & Construction Machinery,620
MRWSY,Wm. Morrison Supermarkets plc,PNK,,0
NOA,North American Energy Partners Inc.,NYQ,Oil & Gas Equipment & Services,124
BCJ.SW,BC JURA,EBS,,0
PFG,Principal Financial Group Inc.,NYQ,Life Insurance,430
U11.SI,United Overseas Bank Limited,SES,Money Center Banks,410
DMNO,DOMIKNOW INC,PNK,,0
ZICOM-EQ.NS,ZICOM ELECTRONIC SECURITY SYSTE,NSI,,0
3045-OL.HK,X DBMSCIINDIA,HKG,,0
DBOEF,Deutsche Boerse AG,PNK,,0
AKPAZ.IS,Akyurek Tuketim Urunleri Pazarlama Dagitim ve Ticaret A.S.,IST,,0
22M.SG,Myanmar Investments International Limited,STU,,0
UNP,Union Pacific Corporation,NYQ,Railroads,776
BAR.SG,BARNES & NOBLE,STU,"Specialty Retail, Other",745
RESN,Resonant Inc.,NCM,Semiconductor - Integrated Circuits,833
KPCUF,Kasikornbank Public Company Limited,PNK,,0
CEAI,"China Education Alliance, Inc.",PNK,,0
SRTI,Sunrise Telecom Inc.,PNK,,0
CG3.BE,CELGENE CORP,BER,Biotechnology,515
M5Z.DE,Manz AG,GER,Semiconductor Equipment & Materials,834
STV.CN,Midnight Star Ventures Corporation,CNQ,,0
ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi A.S.,IST,,0
UHR.VX,THE SWATCH GRP,VTX,,0
T5W.F,,,,0
NNHE,"Neenah Enterprises, Inc.",PNK,,0
JPFA.JK,Japfa Comfeed Indonesia Tbk.,JKT,,0
VALECHAENG.NS,VALECHA ENGINEERIN INR10,NSI,,0
FIBH,"First Bancshares Inc. (Bellevue, OH)",PNK,,0
0ELC.L,XPO Logistics Europe SA,LSE,,0
MLNK,"ModusLink Global Solutions, Inc.",NMS,Air Delivery & Freight Services,773
TTB.HM,PINGUIN HAUSTECHNIK,HAM,,0
ZPFK.SG,ZAPF CREATION,STU,,0
BBT-PD,BB&T; Corporation Depositary Sha,NYQ,,0
PPCH,Propanc Health Group Corporation,PNK,,0
WAS-H.V,WATUSI CAPITAL CORP,VAN,,0
ONFC,Oneida Financial Corp.,NGM,,0
WLWHF,WOOLWORTH HOLDINGS,PNK,,0
IEBS,Independence Bancshares Inc.,PNK,Regional - Mid-Atlantic Banks,412
UDF,United Development Funding IV,NMS,REIT - Residential,445
SX.PA,CS Communication & Systemes SA,PAR,Aerospace/Defense - Major Diversified,610
FSNUY,Fresenius SE & Co KGaA,PNK,,0
RDSMY,Koninklijke DSM N.V.,PNK,,0
TAPM,"Tapinator, Inc.",PNK,,0
V3V.F,VITA 34 N,FRA,Biotechnology,515
0353.HK,ENERGY INTINV,HKG,Industrial Metals & Minerals,133
YYR.CN,METALO MFG INC,CNQ,,0
PFTI,Puradyn Filter Technologies Inc.,PNK,Auto Parts,333
RDIB,"Reading International, Inc.",NCM,,0
NHC-PA,National HealthCare Corporation,ASE,,0
WPQ.V,WPC Resources Inc.,VAN,Industrial Metals & Minerals,133
9334@OM.KL,KESM INDUSTRIES BHD,KLS,,0
CAGU,"The Castle Group, Inc.",PNK,Lodging,710
SDRL.OL,SEADRILL,OSL,,0
CMRE-PC,Costamare Inc. Perpetual Prefer,NYQ,,0
WCIC,WCI Communities Inc.,NYQ,,0
CRZHF,Crazy Horse Resources Inc.,PNK,,0
0969.HK,HUA LIEN INT'L,HKG,Textile Industrial,628
UZC,United States Cellular Corporat,NYQ,,0
QLT.TO,QLT Inc.,TOR,Biotechnology,515
FALC,Falconstor Software Inc.,NGM,Application Software,821
YFX1.SG,FXCM-A,STU,,0
SRCF,"Source Financial, Inc.",PNK,,0
HER.MI,Hera S.p.A.,MIL,Diversified Utilities,913
DBL,DoubleLine Opportunistic Credit Fund,NYQ,,0
GJT.AX,Galileo Japan Trust,ASX,REIT - Diversified,440
BVS.L,Bovis Homes Group PLC,LSE,Residential Construction,630
DANSKE.CO,Danske Bank A/S,CPH,Money Center Banks,410
0ZP.F,ZOSANO PHARMA,FRA,,0
GARS,Garrison Capital Inc.,NMS,Asset Management,422
3W4.BE,WATERCO,BER,,0
JEC.TO,Jura Energy Corporation,TOR,Technical Services,767
SMCI,"Super Micro Computer, Inc.",NMS,Networking & Communication Devices,814
VLK.L,Vislink plc,LSE,Communication Equipment,841
MCDC34.SA,McDonald's Corp.,SAO,,0
722268.TWO,JIH SUN SECURITIES C/W 04/07/16,TWO,,0
K3TD.SI,u ZNH ADR US$,SES,,0
UUEC.MU,UNITED UTILITIES GR,MUN,Water Utilities,914
ZSAMTULI.BO,SAM-TUL INVESTMENTS LTD.,BSE,,0
LCTC,"Lifeloc Technologies, Inc.",PNK,Medical Appliances & Equipment,521
AVG.AX,Australian Vintage Limited.,ASX,Beverages - Wineries & Distillers,347
YZCA.F,YANZHOU COAL -H-,FRA,Industrial Metals & Minerals,133
RLGT,"Radiant Logistics, Inc.",ASE,Air Delivery & Freight Services,773
722893.TWO,YUANTA SECURITIES C/W 23/08/16(,TWO,,0
JHS.NS,JHS Svendgaard Laboratories Ltd.,NSI,Personal Products,323
RELAXO.BO,Relaxo Footwears Limited,BSE,Textile - Apparel Footwear & Accessories,321
DVT.PA,Devoteam S.A.,PAR,Information Technology Services,824
1668.HK,CHINASOUTHCITY,HKG,Property Management,448
TIN.V,Eurotin Inc.,VAN,,0
FPRX,"Five Prime Therapeutics, Inc.",NMS,Biotechnology,515
WCM-A.TO,Wilmington Capital Management Inc.,TOR,Asset Management,422
IKGH,Iao Kun Group Holding Company Limited,NGM,Gaming Activities,714
BTKC.MU,MONDI -NPV-,MUN,,0
MPHC.QA,Mesaieed Petrochemical Holding Company Q.S.C.,DOH,,0
CLEO.MC,CLEOP,MCE,,0
MTSL,MER Telemanagement Solutions Ltd.,NCM,Diversified Communication Services,846
TDK.F,TDK CORP,FRA,Diversified Electronics,836
JAT.SG,JAPAN TOBACCO,STU,"Tobacco Products, Other",351
SARKF,SARAWAK OIL PALMS,PNK,,0
NXJ,Nuveen New Jersey Dividend Advantage Municipal Fund,NYQ,Asset Management,422
SADL,"William H. Sadlier, Inc.",PNK,,0
CNJ.MU,CANON MARKETING JP,MUN,Business Equipment,313
EPRS,"EPIRUS Biopharmaceuticals, Inc.",NCM,Biotechnology,515
0086.KL,YGL CONVERGENCE BHD,KLS,,0
SVTE,Service Team Inc.,PNK,Business Services,760
WDP.BE,WALT DISNEY-DISNEY,BER,Entertainment - Diversified,722
VVDH.BE,VEOLIA ENV SP ADR,BER,Waste Management,637
SMDZF,Strategic Metals Ltd.,PNK,,0
MAQAF,Macquarie Atlas Roads Group,PNK,,0
BOMXF,Bolsa Mexicana de Valores SAB de CV,PNK,,0
PLM,Polymet Mining Corp.,ASE,Industrial Metals & Minerals,133
SAN-PC,"Banco Santander, S.A. 6.50% Non",NYQ,,0
002350.KS,Nexen Tire Corp.,KSC,,0
2SO.MU,SOPHOS GROUP,MUN,,0
TSP.V,TitanStar Properties Inc.,VAN,Real Estate Development,449
SMDS.L,DS Smith Plc,LSE,Packaging & Containers,325
XOU.F,SOHU.COM ,FRA,Internet Information Providers,851
ALDA,ATLANTICA INC,PNK,,0
1222-OL.HK,WANG ON GROUP,HKG,,0
1113.HK,CK PROPERTY,HKG,,0
I8U.SG,INPEX,STU,Independent Oil & Gas,121
BPO-PR.TO,BROOKFIELD OFFICE PROPERTIES PR,TOR,,0
XYD.MU,MINCO SILVER,MUN,Silver,135
PMULF,Pure Multi-Family REIT LP,PNK,,0
FME.DE,Fresenius Medical Care AG & Co. KGAA,GER,Hospitals,524
MYJ,"BlackRock MuniYield New Jersey Fund, Inc.",NYQ,Closed-End Fund - Debt,425
YZA.F,ARYZTA N,FRA,Food - Major Diversified,340
ZIL2.BE,ELRINGKLINGER N,BER,Auto Parts,333
B2K.F,BELL EQUIPMENT,FRA,Farm & Construction Machinery,620
AVOD.IS,A.V.O.D Kurutulmus Gida ve Tarim Urunleri Sanayi Ticaret A.S,IST,,0
BRN,"Barnwell Industries, Inc.",ASE,Independent Oil & Gas,121
OKIEF,"Oki Electric Industry Co., Ltd.",PNK,,0
HUSI-PG,"HSBC USA, Inc. Dep Shs repstg 1",NYQ,,0
MVT,"BlackRock MuniVest Fund II, Inc.",NYQ,Closed-End Fund - Debt,425
QSV.SG,EDENRED,STU,Credit Services,424
ECZYT.IS,Eczacibasi Yatirim Holding Ortakligi A.S.,IST,,0
YM0.F,YMAGIS,FRA,,0
DH.TO,DH Corporation,TOR,,0
CDUAF,Canadian Utilities Ltd.,PNK,,0
MD-U.TI,MCDONALD'S,TLO,,0
0WE.F,WEATHERFORD INT,FRA,,0
0952-OL.HK,QUAM,HKG,,0
TLCTF,Telecity Group plc,PNK,,0
FCO,"Aberdeen Global Income Fund, Inc.",ASE,Closed-End Fund - Debt,425
ISIS,"Isis Pharmaceuticals, Inc.",NMS,,0
PSIX,"Power Solutions International, Inc.",NCM,Diversified Machinery,622
RYN,Rayonier Inc.,NYQ,"Lumber, Wood Production",632
THRL.L,Target Healthcare REIT Limited,LSE,REIT - Healthcare Facilities,442
SIMECB.MX,Grupo Simec S.A.B. de C.V.,MEX,Steel & Iron,130
FTI,"FMC Technologies, Inc.",NYQ,Oil & Gas Equipment & Services,124
LOG.MC,LOGISTA,MCE,,0
WHTCF,,PNK,,0
INVN,"InvenSense, Inc.",NYQ,Semiconductor - Integrated Circuits,833
XEA.SG,Exa Corporation,STU,,0
ZMX.SG,WIDEPOINT ,STU,Information Technology Services,824
ALO.PA,Alstom SA,PAR,Diversified Machinery,622
TRADWIN.BO,Trade Wings Limited,BSE,"Recreational Goods, Other",317
ZLEENCON.BO,LEENA CONSULTANCY LTD.,BSE,,0
XNP.BE,CNP ASSURANCES,BER,Life Insurance,430
LOW-UN.TO,LOW VOLATILITY CDN EQUITIES INC,TOR,,0
SLNZ,Soft Landing Labs Ltd.,PNK,,0
PMF,PIMCO Municipal Income Fund,NYQ,Closed-End Fund - Debt,425
BBDBN.MX,BOMBARD -B- SUB VTG,MEX,,0
PRPH,"ProPhase Labs, Inc.",NCM,Drug Related Products,514
AOI.ST,Africa Oil Corp,STO,Independent Oil & Gas,121
RILY,"B. Riley Financial, Inc.",NCM,Asset Management,422
POT.TO,Potash Corporation of Saskatchewan Inc.,TOR,Agricultural Chemicals,112
TX,Ternium S.A.,NYQ,Steel & Iron,130
722714.TWO,JIH SUN SECURITIES C/W 01/08/16,TWO,,0
T6PN.SG,TRIANGLE PETROLEUM,STU,,0
NYCB,New York Community Bancorp Inc.,NYQ,Savings & Loans,419
TAL,"TAL International Group, Inc.",NYQ,Rental & Leasing Services,761
MSI.TO,Morneau Shepell Inc.,TOR,Staffing & Outsourcing Services,764
UTX.MX,United Technologies Corporation,MEX,Aerospace/Defense - Major Diversified,610
KD8.BE,KABEL DEUT HLDG,BER,CATV Systems,725
CM1.F,XURA,FRA,,0
ZHULF,ZHULIAN CORPORATION,PNK,,0
MERK.JK,Merck Tbk.,JKT,,0
WF5A.BE,KRATOS DEF&SEC;,BER,Security & Protection Services,765
JOF,Japan Smaller Capitalization Fund Inc.,NYQ,Closed-End Fund - Foreign,427
WTVR-CRI11B0.SA,BRPR 56 SEC C11 EJA,SAO,,0
SMANP,SMAN CAP TR I,PNK,,0
KDEV.ST,Karolinska Development AB (publ),STO,,0
B3SB.DU,BCP FIN PERP NCP A,DUS,,0
NXR.L,Norcros plc,LSE,General Building Materials,634
TLW.L,Tullow Oil plc,LSE,Independent Oil & Gas,121
PJTA.BE,PLURISTEM THERA,BER,Biotechnology,515
LAM.TO,Laramide Resources Ltd.,TOR,Industrial Metals & Minerals,133
ADHI.JK,Adhi Karya (Persero) Tbk.,JKT,,0
RXSF,"Rx Safes, Inc.",OBB,Medical Instruments & Supplies,520
LYTS,LSI Industries Inc.,NMS,Industrial Electrical Equipment,627
STAF.L,Staffline Group plc,LSE,Staffing & Outsourcing Services,764
CU-PE.TO,CANADIAN UTILITIES LTD PREF SER,TOR,,0
